==> 1.pdbqt_log.log <==
   4         -7.1     26.282     29.378
   5         -7.1      2.487      3.330
   6         -7.0     14.270     18.004
   7         -7.0      3.849      7.035
   8         -7.0      3.772      7.288
   9         -6.9      3.932      7.380
  10         -6.7     17.273     20.370
Writing output ... done.

==> 62.pdbqt_log.log <==
   1         -8.2      0.000      0.000
   2         -7.9     19.065     24.494
   3         -7.8     29.652     34.423
   4         -7.8     29.838     33.147
   5         -7.8     29.230     32.087
   6         -7.6     30.146     34.373
   7         -7.6     28.512     32.667
   8         -7.6     29.740     32.701
   9         -7.5     17.503     21.230
  10         -7.3     19.741     24.141
Writing output ... done.

==> 63.pdbqt_log.log <==
   1         -6.9      0.000      0.000
   2         -6.8     16.662     23.514
   3         -6.6     16.218     23.060
   4         -6.6      2.447      5.929
   5         -6.6      6.272      8.803
   6         -6.6      2.424      5.409
   7         -6.4     17.042     20.057
   8         -6.3     20.924     23.842
   9         -6.3     16.807     19.401
  10         -6.2     14.069     17.045
Writing output ... done.

==> 64.pdbqt_log.log <==
   1         -7.6      0.000      0.000
   2         -6.6     17.630     20.750
   3         -6.6     17.829     20.988
   4         -6.6     18.157     25.222
   5         -6.4      1.810      2.627
   6         -6.3      1.440      3.657
   7         -6.3     34.512     38.838
   8         -6.2      2.614      5.171
   9         -6.2     23.850     26.576
  10         -6.1     38.970     41.573
Writing output ... done.

==> 65.pdbqt_log.log <==
   1         -7.3      0.000      0.000
   2         -7.3     26.005     28.996
   3         -7.1      1.755      2.204
   4         -7.0     15.496     17.442
   5         -6.8     26.439     29.359
   6         -6.7     26.671     29.744
   7         -6.7     26.027     29.247
   8         -6.6     20.326     25.153
   9         -6.6     26.101     29.317
  10         -6.5     15.070     17.321
Writing output ... done.

==> 66.pdbqt_log.log <==
   1         -7.2      0.000      0.000
   2         -7.0      2.869      5.011
   3         -6.9      3.377      6.165
   4         -6.4     13.435     15.582
   5         -6.3     31.613     34.038
   6         -6.1     27.793     30.260
   7         -6.1      3.750      6.198
   8         -6.0     13.680     15.497
   9         -5.9     36.524     38.607
  10         -5.8     28.125     30.572
Writing output ... done.

==> 67.pdbqt_log.log <==
   1         -7.1      0.000      0.000
   2         -6.4     13.712     17.968
   3         -6.4      3.428      7.391
   4         -6.3     13.749     15.888
   5         -6.3     14.559     17.107
   6         -6.3     13.565     17.283
   7         -6.1      3.617      6.610
   8         -6.0     29.132     31.640
   9         -6.0     13.568     15.397
  10         -5.9     35.382     37.943
Writing output ... done.

==> 68.pdbqt_log.log <==
   1         -6.7      0.000      0.000
   2         -6.6     13.368     15.512
   3         -6.6      3.066      7.793
   4         -6.4     13.336     17.618
   5         -6.3      3.440      7.974
   6         -6.3     13.101     15.430
   7         -6.3     14.572     16.801
   8         -6.2     15.160     18.103
   9         -6.1     13.403     16.669
  10         -6.1      4.284      7.789
Writing output ... done.

==> 69.pdbqt_log.log <==
   1         -8.3      0.000      0.000
   2         -7.8     20.377     22.313
   3         -7.7     14.753     18.236
   4         -7.6     20.020     21.869
   5         -7.6     19.400     21.522
   6         -7.5      5.053      7.796
   7         -7.5     20.826     22.769
   8         -7.5     17.908     21.345
   9         -7.5     17.747     21.484
  10         -7.5     21.185     24.199
Writing output ... done.

==> 7.pdbqt_log.log <==
   1         -5.6      0.000      0.000
   2         -5.6     17.327     20.248
   3         -5.6     19.364     23.472
   4         -5.5     18.123     21.056
   5         -5.4     15.568     20.379
   6         -5.4      1.882      2.609
   7         -5.3     30.839     32.996
   8         -5.3     15.998     19.275
   9         -5.3     19.313     23.410
  10         -5.3     12.049     15.302
Writing output ... done.

==> 70.pdbqt_log.log <==
   1         -7.6      0.000      0.000
   2         -7.4     20.115     22.008
   3         -7.4      1.592      6.903
   4         -7.3     16.654     21.957
   5         -7.2     21.060     23.178
   6         -7.1     20.092     23.083
   7         -7.0     20.896     23.737
   8         -6.9      3.180      4.980
   9         -6.9     15.806     18.925
  10         -6.9     20.691     23.770
Writing output ... done.

==> 71.pdbqt_log.log <==
   1         -7.4      0.000      0.000
   2         -6.9      2.821      3.577
   3         -6.7     18.806     20.403
   4         -6.6     28.153     31.174
   5         -6.4     28.578     31.496
   6         -6.3     12.768     15.359
   7         -5.8     11.595     14.391
   8         -5.8     29.928     33.337
   9         -5.8     21.616     23.271
  10         -5.7     16.765     19.204
Writing output ... done.

==> 72.pdbqt_log.log <==
   1         -7.3      0.000      0.000
   2         -7.1      2.745      3.875
   3         -7.1     14.155     16.791
   4         -6.9      2.107      2.536
   5         -6.8      6.486      7.750
   6         -6.6     17.957     20.129
   7         -6.6     14.086     16.787
   8         -6.6     15.250     17.243
   9         -6.5     33.223     35.944
  10         -6.4     33.623     35.766
Writing output ... done.

==> 73.pdbqt_log.log <==
   1         -8.6      0.000      0.000
   2         -7.7     28.377     31.245
   3         -7.5     27.571     31.345
   4         -7.5     28.488     31.476
   5         -7.5     14.103     17.493
   6         -7.5     29.101     32.437
   7         -7.4     28.708     31.393
   8         -7.3     12.333     16.238
   9         -7.2     12.348     14.093
  10         -6.9     29.306     32.913
Writing output ... done.

==> 74.pdbqt_log.log <==
   1         -7.4      0.000      0.000
   2         -7.2     12.869     15.993
   3         -7.2      1.581      1.922
   4         -7.0     17.231     21.383
   5         -6.9     14.001     16.503
   6         -6.8     18.703     21.287
   7         -6.7     12.958     15.337
   8         -6.7     35.865     39.229
   9         -6.7      2.863      4.503
  10         -6.3     33.617     35.662
Writing output ... done.

==> 75.pdbqt_log.log <==
   1         -7.4      0.000      0.000
   2         -7.3     11.321     15.134
   3         -7.2     14.204     17.472
   4         -7.2     11.492     15.614
   5         -6.9     14.461     17.899
   6         -6.8      3.010      7.949
   7         -6.7      2.903      5.034
   8         -6.6     15.954     20.256
   9         -6.6     15.023     18.785
  10         -6.5     13.138     17.512
Writing output ... done.

==> 76.pdbqt_log.log <==
   1         -6.7      0.000      0.000
